x, y, yaw, km, kf, sf
2.98874,-0.0108425,1.01283,-0.0541732,1.84291,3.15512
3.98837,-0.0215366,1.00434,-0.0411147,1.40521,4.2005
4.98435,-0.0207766,1.00985,-0.0331991,1.13504,5.24502
5.98365,-0.0312279,1.00527,-0.0281422,0.950173,6.28579
6.97967,-0.0306485,1.00876,-0.0239824,0.820044,7.33513
1.99294,1.98042,1.06208,0.798054,-0.823788,3.20942
3.02366,2.08045,1.00977,0.480464,-0.153877,3.90416
4.00795,2.03329,1.04932,0.304001,0.151405,4.74943
4.9941,1.99615,1.04552,0.20442,0.287526,5.68965
5.9581,1.93591,1.00757,0.144269,0.347608,6.65166
7.0261,2.05516,1.07086,0.104699,0.365291,7.58751
1.97913,-1.94823,-1.08694,-0.791586,0.861041,3.24411
2.96807,-1.97464,-1.04198,-0.477639,0.170845,3.9562
3.9901,-1.99638,-1.04705,-0.302442,-0.155186,4.7455
5.01181,-2.03589,-1.05819,-0.202692,-0.287988,5.66255
6.01632,-2.03645,-1.06171,-0.143216,-0.346432,6.64033
6.96715,-1.95528,-1.01836,-0.104972,-0.367683,7.62347
2.0143,-0.0219957,-1.12182,0.0988142,-2.53481,2.08505
3.01301,-0.0157134,-1.07716,0.0660144,-1.75444,3.11783
4.00844,-0.0169839,-1.06679,0.0485942,-1.34928,4.15866
5.00787,-0.00643712,-1.04974,0.0373093,-1.10381,5.21149
6.00362,-0.00724792,-1.04669,0.0315186,-0.924709,6.24431
7.00286,0.00315806,-1.03769,0.026334,-0.802228,7.29693
1.94821,1.99133,-1.02245,0.234107,-8.84985,4.4988
3.90221,2.00443,-1.06075,0.362791,-2.20206,5.00869
4.97999,2.02507,-0.993938,0.258137,-1.72004,5.91774
5.96462,1.98774,-1.06977,0.191044,-1.40247,6.88553
7.01204,1.96469,-1.09938,0.14938,-1.15766,7.8411
2.02869,-2.00021,0.0840964,-0.869001,2.56256,3.19767
3.00174,-1.9981,0.00388405,-0.533745,1.69162,3.90392
3.99442,-1.99811,-0.00443481,-0.353503,1.08034,4.67044
4.99789,-1.99867,-0.000718888,-0.24323,0.773044,5.57347
5.96355,-1.99797,-0.0195551,-0.177375,0.561776,6.47488
6.98392,-2.0044,-0.00563722,-0.134753,0.421638,7.38617
0.98,0,0,0,0,1.025
1.94,0,0,0,0,2.05
2.98,0,0,0,0,3.025
4.02,0,0,0,0,3.98333
4.98,0,0,0,0,5.025
6.02,0,0,0,0,5.98333
6.98,0,0,0,0,7.025
2.02869,2.00021,-0.0840964,0.869001,-2.56256,3.19767
3.00174,1.9981,-0.00388405,0.533745,-1.69162,3.90392
3.99442,1.99811,0.00443481,0.353503,-1.08034,4.67044
4.99789,1.99867,0.000718888,0.24323,-0.773044,5.57347
5.96355,1.99797,0.0195551,0.177375,-0.561776,6.47488
6.98392,2.0044,0.00563722,0.134753,-0.421638,7.38617
1.94821,-1.99133,1.02245,-0.234107,8.84985,4.4988
3.90221,-2.00443,1.06075,-0.362791,2.20206,5.00869
4.97999,-2.02507,0.993938,-0.258137,1.72004,5.91774
5.96462,-1.98774,1.06977,-0.191044,1.40247,6.88553
7.01204,-1.96469,1.09938,-0.14938,1.15766,7.8411
2.0143,0.0219957,1.12182,-0.0988142,2.53481,2.08505
3.01301,0.0157134,1.07716,-0.0660144,1.75444,3.11783
4.00844,0.0169839,1.06679,-0.0485942,1.34928,4.15866
5.00787,0.00643712,1.04974,-0.0373093,1.10381,5.21149
6.00362,0.00724792,1.04669,-0.0315186,0.924709,6.24431
7.00286,-0.00315806,1.03769,-0.026334,0.802228,7.29693
1.97913,1.94823,1.08694,0.791586,-0.861041,3.24411
2.96807,1.97464,1.04198,0.477639,-0.170845,3.9562
3.9901,1.99638,1.04705,0.302442,0.155186,4.7455
5.01181,2.03589,1.05819,0.202692,0.287988,5.66255
6.01632,2.03645,1.06171,0.143216,0.346432,6.64033
6.96715,1.95528,1.01836,0.104972,0.367683,7.62347
1.99153,-1.97813,-1.06435,-0.788615,0.827986,3.23613
2.97752,-2.0122,-1.02414,-0.475589,0.152966,3.93864
3.95961,-1.96182,-1.04223,-0.302118,-0.150825,4.79811
4.98877,-1.98992,-1.0437,-0.201614,-0.288613,5.65901
5.99119,-1.99262,-1.04485,-0.142933,-0.347337,6.65817
6.97923,-1.97951,-1.03834,-0.105052,-0.369317,7.65161
0.983849,0.00563177,-0.985947,0.156993,-4.83368,1.08954
1.98373,0.0205727,-0.979812,0.102071,-2.49963,2.08878
2.98188,0.0180611,-0.994793,0.0546281,-1.8273,3.17362
3.97976,0.0306652,-0.993277,0.0491052,-1.3419,4.1628
4.97781,0.028412,-0.998522,0.0337429,-1.12637,5.25914
5.97516,0.0405949,-0.997784,0.0317801,-0.921236,6.24809
6.9733,0.0384652,-1.0005,0.024473,-0.814045,7.34475
2.99578,2.00128,-1.03834,0.537214,-2.95269,4.18121
3.96297,2.03501,-0.961469,0.359803,-2.21936,5.02641
4.98125,1.96486,-1.1176,0.255374,-1.73313,5.94347
6.0013,1.9949,-1.05518,0.191039,-1.39566,6.88951
6.98931,2.01382,-1.02792,0.149263,-1.15335,7.84733
1.98061,-1.99798,-0.0362062,-0.872306,2.47375,3.17949
3.03723,-1.99617,0.0639784,-0.541095,1.58783,3.8534
3.94513,-1.99379,-0.0409865,-0.354408,1.05279,4.65228
4.94896,-1.99633,-0.0376539,-0.241548,0.779314,5.59782
5.99483,-1.99779,-0.0018633,-0.178356,0.545036,6.44029
7.01677,-1.99853,0.00847797,-0.133116,0.433516,7.45172
1.01,0,0,0,0,0.991667
1.97,0,0,0,0,2.0375
3.01,0,0,0,0,2.99167
3.97,0,0,0,0,4.0375
5.01,0,0,0,0,4.99167
5.97,0,0,0,0,6.0375
7.01,0,0,0,0,6.99167
1.98061,1.99798,0.0362062,0.872306,-2.47375,3.17949
3.03723,1.99617,-0.0639784,0.541095,-1.58783,3.8534
3.94513,1.99379,0.0409865,0.354408,-1.05279,4.65228
4.94896,1.99633,0.0376539,0.241548,-0.779314,5.59782
5.99483,1.99779,0.0018633,0.178356,-0.545036,6.44029
7.01677,1.99853,-0.00847797,0.133116,-0.433516,7.45172
2.99578,-2.00128,1.03834,-0.537214,2.95269,4.18121
3.96297,-2.03501,0.961469,-0.359803,2.21936,5.02641
4.98125,-1.96486,1.1176,-0.255374,1.73313,5.94347
6.0013,-1.9949,1.05518,-0.191039,1.39566,6.88951
6.98931,-2.01382,1.02792,-0.149263,1.15335,7.84733
0.983849,-0.00563177,0.985947,-0.156993,4.83368,1.08954
1.98373,-0.0205727,0.979812,-0.102071,2.49963,2.08878
2.98188,-0.0180611,0.994793,-0.0546281,1.8273,3.17362
3.97976,-0.0306652,0.993277,-0.0491052,1.3419,4.1628
4.97781,-0.028412,0.998522,-0.0337429,1.12637,5.25914
5.97516,-0.0405949,0.997784,-0.0317801,0.921236,6.24809
6.9733,-0.0384652,1.0005,-0.024473,0.814045,7.34475
1.99153,1.97813,1.06435,0.788615,-0.827986,3.23613
2.97752,2.0122,1.02414,0.475589,-0.152966,3.93864
3.95961,1.96182,1.04223,0.302118,0.150825,4.79811
4.98877,1.98992,1.0437,0.201614,0.288613,5.65901
5.99119,1.99262,1.04485,0.142933,0.347337,6.65817
